-,-,-,Regular season,Regular season,Regular season,Regular season,Regular season,Playoffs,Playoffs,Playoffs,Playoffs,Playoffs,-,-
Season,Team,League,-,GP,G,A,Pts,PIM,-,GP,G,A,Pts,PIM
2004–05,KalPa,Jr. A,-,1,0,0,0,0,-,—,—,—,—,—
2005–06,KalPa,Jr. A,-,29,9,5,14,46,-,5,0,0,0,0
2006–07,Kamloops Blazers,WHL,-,64,32,39,71,52,-,4,0,3,3,4
2007–08,Kamloops Blazers,WHL,-,60,27,26,53,26,-,4,1,1,2,2
2008–09,Espoo Blues,SM-l,-,53,13,20,33,14,-,14,1,1,2,4
2009–10,Espoo Blues,SM-l,-,54,8,13,21,64,-,2,0,1,1,0
2010–11,HPK,SM-l,-,59,26,12,38,46,-,2,1,0,1,4
2011–12,Milwaukee Admirals,AHL,-,55,50,50,100,8,-,—,—,—,—,—
2012–13,Milwaukee Admirals,AHL,-,73,15,16,31,14,-,4,0,0,0,4
2013–14,HIFK,Liiga,-,51,23,17,40,42,-,2,1,0,1,2
2014–15,HIFK,Liiga,-,47,15,12,27,28,-,7,2,2,4,2
2015–16,HIFK,Liiga,-,50,13,14,27,18,-,14,4,5,9,6
2016–17,HIFK,Liiga,-,48,6,14,20,42,-,13,6,6,12,2
2017–18,JYP Jyväskylä,Liiga,-,10,30,21,51,100,-,6,2,2,4,2
2018–19,Neftekhimik Nizhnekamsk,KHL,-,53,20,17,37,20,-,—,—,—,—,—
Liiga totals,Liiga totals,Liiga totals,-,415,134,123,258,298,-,60,17,17,34,22
