Number,Manufacturer,Build date,Length (mm),Weight (t)
201,Nippon Sharyo,1961,"20,000",30.0
202,Nippon Sharyo,1961,"20,000",30.0
203,Nippon Sharyo,1963,"20,000",30.0
204,Nippon Sharyo,1963,"20,000",30.0
205,Nippon Sharyo,1963,"20,000",30.0
206,Nippon Sharyo,1963,"20,000",30.0
207,Nippon Sharyo,1970,"20,000",30.0
208,Nippon Sharyo,1970,"20,000",30.0
209,Nippon Sharyo,1970,"20,000",30.0
210,Nippon Sharyo,1970,"20,000",30.0
211,Nippon Sharyo,1975,"20,000",30.0
212,Nippon Sharyo,1975,"20,000",30.0
213,Nippon Sharyo,1977,"20,000",30.0
214,Nippon Sharyo,1977,"20,000",30.0
