draw,language,artist,english translation,place,points
1,finnish,marion rung,chirpy chirp,7,4
2,french,fud leclerc,your name,13,0
3,spanish,victor balaguer,call me,13,0
4,german,eleonore schwarz,only in the vienna air,13,0
5,danish,ellen winther,lullaby,10,2
6,swedish,inger berggren,sun and spring,7,4
7,german,conny froboess,two little italians,6,9
8,dutch,de spelbrekers,-,13,0
9,french,isabelle aubret,a first love,1,26
10,norwegian,inger jacobsen,"come sun , come rain",10,2
11,french,jean philippe,the return,10,2
12,serbian,lola novaković,don't turn the lights on at twilight,4,10
13,english,ronnie carroll,-,4,10
14,french,camillo felgen,little chap,3,11
15,italian,claudio villa,"goodbye , goodbye",9,3
16,french,françois deguelt,say nothing,2,13
