State/Region Hluttaws,MPs,Military MPs,Ethnic Minister,Total
State Hluttaws,State Hluttaws,State Hluttaws,State Hluttaws,State Hluttaws
Chin State Hluttaw,18,6,0,24
Kachin State Hluttaw,36,13,4,53
Kayah State Hluttaw,14,5,1,20
Kayin State Hluttaw,14,6,3,23
Mon State Hluttaw,20,8,3,31
Rakhine State Hluttaw,34,12,1,47
Shan State Hluttaw,96,34,7,137
Regional Hluttaws,Regional Hluttaws,Regional Hluttaws,Regional Hluttaws,Regional Hluttaws
Ayeyarwady Region Hluttaw,52,18,2,72
Bago Region Hluttaw,56,19,1,76
Magway Region Hluttaw,50,17,1,68
Mandalay Region Hluttaw,56,19,1,76
Sagaing Region Hluttaw,74,25,2,101
Taninthayi Region Hluttaw,20,7,1,28
Yangon Region Hluttaw,90,31,2,123
-,630,220,29,879
