player,tackles,solo,assisted,sack,yards,td 's
rex motes,26.0,24,4,0,0,0
nathan creer,25.5,24,3,0,0,0
walter holman,21.0,17,8,2,3,0
pete stubbs,19.5,18,3,3,0,0
michael witteck,16.0,14,4,2,0,0
jon roehlk,15.0,11,8,6,0,0
dwayne dixon,13.0,12,2,0,0,0
sean mcinerney,9.0,8,2,3,0,0
robert goins,9.0,9,0,0,0,0
richard dupree,8.5,6,5,0,0,0
brett wilson,8.0,7,2,0,0,0
wes walton,7.0,4,6,2,0,0
fernando mcwherter,5.0,5,0,0,0,0
mike calhoun,3.0,2,2,3,0,0
kendall walls,2.0,2,0,0,0,0
steve griffin,1.0,1,0,0,0,0
