Works No.,IMR No.,PPR No.,CSAR No.,BMR or RRM No.,NGR No.,SAR No.
5677,-,-,-,RRM 63,-,949
5835,128,-,373,-,-,1032
5836,129,-,374,-,-,1033
5837,130,-,375,-,-,1034
5813,106,-,376,Pauling,-,1035
5814,107,-,377,-,-,1036
5815,108,-,378,-,-,1037
5816,109,-,379,-,-,1038
5817,110,-,-,MR 19,-,1355 (7D)
5818,111,-,381,-,-,1058
5819,112,-,382,-,-,1039
5820,113,-,383,Pauling,-,1040
5826,119,-,384,-,327,1055
5822,115,-,385,-,-,1041
5823,116,-,386,-,-,1042
5824,117,-,387,-,-,1043
5825,118,-,388,-,-,1044
5830,123,-,389,-,328,1056
5827,120,-,390,-,-,1045
5828,121,-,391,-,-,1046
5829,122,-,392,-,-,1047
5821,114,-,393,-,329,1057
5831,124,-,394,-,-,1048
5832,125,-,395,-,-,1049
5833,126,-,396,-,-,1050
5834,127,-,397,-,-,1051
5904,-,7,398,-,-,1052
5905,-,8,399,-,-,1053
5906,-,9,400,-,-,1054
